Geneid,Genesymbol,Genebiotype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000107175,CREB3,protein_coding,1050,1323,1082,1565,724,250,347,775
ENSG00000107185,RGP1,protein_coding,3902,4293,4396,5836,1283,428,583,1625
ENSG00000107186,MPDZ,protein_coding,2618,3191,1580,1761,245,83,102,301
ENSG00000107187,LHX3,protein_coding,2,1,0,1,3,1,0,1
ENSG00000107201,RIGI,protein_coding,63,75,62,53,41,13,31,50
ENSG00000107223,EDF1,protein_coding,9776,11214,11501,15614,1200,420,615,1588
ENSG00000107242,PIP5K1B,protein_coding,17,12,21,31,18,3,9,23
ENSG00000107249,GLIS3,protein_coding,14,20,21,17,2193,737,641,1706
ENSG00000107262,BAG1,protein_coding,1448,1698,1055,1299,239,77,76,234
ENSG00000107263,RAPGEF1,protein_coding,1255,1472,1120,1714,680,261,301,858
ENSG00000107281,NPDC1,protein_coding,1740,1857,1368,2503,124,58,77,191
ENSG00000107282,APBA1,protein_coding,59,79,117,206,20,6,23,53
ENSG00000107290,SETX,protein_coding,4029,4777,4223,4303,1801,546,629,1793
ENSG00000107295,SH3GL2,protein_coding,26,27,57,95,11,2,8,30
ENSG00000107317,PTGDS,protein_coding,0,0,1,0,1,0,0,0
ENSG00000107331,ABCA2,protein_coding,8423,8711,3996,6065,244,98,96,227
ENSG00000107338,SHB,protein_coding,283,288,238,406,1348,498,381,1026
ENSG00000107341,UBE2R2,protein_coding,5113,5811,4268,5048,1252,397,357,1024
ENSG00000107362,ABHD17B,protein_coding,492,557,401,465,479,152,136,344
ENSG00000107371,EXOSC3,protein_coding,1041,1211,1399,1409,525,207,255,591
ENSG00000107372,ZFAND5,protein_coding,5988,6742,4393,4971,2382,779,686,1993
ENSG00000107404,DVL1,protein_coding,2054,2255,1932,2825,990,377,582,1209
ENSG00000107438,PDLIM1,protein_coding,1165,1275,1432,1838,3232,1305,938,2770
ENSG00000107443,CCNJ,protein_coding,90,97,67,77,637,218,292,909
ENSG00000107447,DNTT,protein_coding,0,0,1,5,0,0,0,1
ENSG00000107485,GATA3,protein_coding,0,0,1,0,172,60,54,210
ENSG00000107518,ATRNL1,protein_coding,63,61,76,164,329,102,112,294
ENSG00000107521,HPS1,protein_coding,385,418,361,473,137,44,90,231
ENSG00000107537,PHYH,protein_coding,1526,1800,2098,3028,50,26,40,75
ENSG00000107551,RASSF4,protein_coding,323,368,147,204,1590,711,199,489
ENSG00000107554,DNMBP,protein_coding,970,1054,898,1199,1365,514,388,1176
ENSG00000107560,RAB11FIP2,protein_coding,1290,1562,1482,1505,953,331,362,1032
ENSG00000107562,CXCL12,protein_coding,10,5,1,17,33,14,31,64
ENSG00000107566,ERLIN1,protein_coding,822,1071,1200,1354,273,95,141,385
ENSG00000107581,EIF3A,protein_coding,27939,32361,32780,38240,613,196,288,863
ENSG00000107593,PKD2L1,protein_coding,2,1,5,1,0,0,0,0
ENSG00000107611,CUBN,protein_coding,23,17,39,42,22,9,7,22
ENSG00000107614,TRDMT1,protein_coding,400,450,404,495,139,54,52,139
ENSG00000107625,DDX50,protein_coding,2422,2835,2945,2934,1211,405,385,989
